id,lon,lat,shape,lonNZ,latNZ
1,174.8335459,-41.33284669,1,318711.967,5422028.577
2,174.8334354,-41.33285719,1,318702.749,5422027.18
3,174.8333308,-41.33292103,1,318694.172,5422019.874
4,174.8333233,-41.33296455,1,318693.665,5422015.026
5,174.8333241,-41.33303768,1,318693.935,5422006.908
6,174.8333351,-41.333089,1,318694.998,5422001.234
7,174.8333463,-41.33315219,1,318696.111,5421994.241
8,174.8333463,-41.33315416,1,318696.116,5421994.023
9,174.8333833,-41.33316779,1,318699.25,5421992.587
10,174.8334066,-41.33313011,1,318701.096,5421996.819
11,174.8334375,-41.33306076,1,318703.489,5422004.583
12,174.8335,-41.3329932,1,318708.532,5422012.215
13,174.8335731,-41.33293745,1,318714.495,5422018.557
14,174.8335726,-41.33289002,1,318714.321,5422023.822
15,174.8335777,-41.3328643,1,318714.677,5422026.688
16,174.8335459,-41.33284669,1,318711.967,5422028.577
17,174.8319713,-41.33302073,2,318580.68,5422005.961
18,174.8319232,-41.3330339,2,318576.691,5422004.398
19,174.83192,-41.33306486,2,318576.509,5422000.954
20,174.8319373,-41.33308279,2,318578.007,5421998.999
21,174.8319613,-41.33307751,2,318580,5421999.636
22,174.831975,-41.33306197,2,318581.104,5422001.39
23,174.831992,-41.33303867,2,318582.462,5422004.012
24,174.8319713,-41.33302073,2,318580.68,5422005.961
25,174.8298226,-41.33356485,3,318402.379,5421941.051
26,174.8297613,-41.33363099,3,318397.433,5421933.58
27,174.8297406,-41.33369438,3,318395.876,5421926.498
28,174.8297479,-41.33374813,3,318396.637,5421920.546
29,174.8297952,-41.33377121,3,318400.659,5421918.082
30,174.8298544,-41.33376854,3,318405.606,5421918.503
31,174.8299006,-41.33373325,3,318409.374,5421922.518
32,174.8299531,-41.33369787,3,318413.669,5421926.556
33,174.8299712,-41.33365327,3,318415.06,5421931.545
34,174.8299114,-41.3336278,3,318409.985,5421934.248
35,174.8298801,-41.33362797,3,318407.366,5421934.164
36,174.8298765,-41.33360217,3,318406.993,5421937.021
37,174.8298226,-41.33356485,3,318402.379,5421941.051
38,174.8321288,-41.33142446,4,318589.429,5422183.518
39,174.8320028,-41.33138474,4,318578.774,5422187.664
40,174.8319032,-41.33147693,4,318570.695,5422177.221
41,174.8319076,-41.33155237,4,318571.273,5422168.854
42,174.8319874,-41.33163817,4,318578.189,5422159.495
43,174.8320813,-41.33169963,4,318586.218,5422152.868
44,174.8321579,-41.33182048,4,318592.964,5422139.61
45,174.8321481,-41.33191756,4,318592.413,5422128.811
46,174.8321238,-41.33200394,4,318590.619,5422119.17
47,174.8321316,-41.3320605,4,318591.429,5422112.907
48,174.832186,-41.33211679,4,318596.138,5422106.771
49,174.8321968,-41.33211943,4,318597.049,5422106.5
50,174.8322692,-41.33218909,4,318603.301,5422098.918
51,174.8322729,-41.33219985,4,318603.641,5422097.731
52,174.8323417,-41.33225876,4,318609.562,5422091.334
53,174.8323525,-41.33226409,4,318610.48,5422090.765
54,174.8323885,-41.33227197,4,318613.515,5422089.966
55,174.832431,-41.33221244,4,318616.906,5422096.664
56,174.8324051,-41.33213982,4,318614.537,5422104.672
57,174.8324147,-41.33201579,4,318614.996,5422118.463
58,174.8324966,-41.33195334,4,318621.677,5422125.568
59,174.8325278,-41.33183727,4,318623.966,5422138.52
60,174.8325053,-41.33174576,4,318621.829,5422148.633
61,174.8323931,-41.33165476,4,318612.187,5422158.502
62,174.8322883,-41.33158258,4,318603.216,5422166.296
63,174.832266,-41.33150185,4,318601.126,5422175.213
64,174.8321288,-41.33142446,4,318589.429,5422183.518
65,174.8266746,-41.33350931,5,318138.787,5421940.62
66,174.8266909,-41.33355137,5,318140.268,5421935.984
67,174.8267131,-41.33362396,5,318142.328,5421927.971
68,174.8267515,-41.3337383,5,318145.86,5421915.357
69,174.8268309,-41.33388251,5,318152.905,5421899.512
70,174.8269196,-41.33399964,5,318160.654,5421886.694
71,174.8270019,-41.33407111,5,318167.74,5421878.932
72,174.8270601,-41.33419919,5,318172.967,5421864.833
73,174.8271338,-41.33435308,5,318179.562,5421847.902
74,174.8271824,-41.33451777,5,318184.087,5421829.719
75,174.8272934,-41.33455828,5,318193.489,5421825.454
76,174.8273633,-41.33454668,5,318199.306,5421826.889
77,174.8273975,-41.3345016,5,318202.043,5421831.965
78,174.8274011,-41.33441916,5,318202.115,5421841.126
79,174.8272891,-41.33433719,5,318192.514,5421849.992
80,174.8272927,-41.33426194,5,318192.606,5421858.354
81,174.8274032,-41.33426133,5,318201.851,5421858.654
82,174.8275193,-41.33429079,5,318211.649,5421855.626
83,174.8276205,-41.33433534,5,318220.241,5421850.892
84,174.8277819,-41.33439452,5,318233.912,5421844.66
85,174.8278219,-41.33437929,5,318237.217,5421846.435
86,174.8279626,-41.33440102,5,318249.052,5421844.317
87,174.8279783,-41.33445717,5,318250.522,5421838.116
88,174.8279991,-41.33452817,5,318252.46,5421830.277
89,174.828181,-41.33471001,5,318268.188,5421810.469
90,174.8282965,-41.33479491,5,318278.089,5421801.285
91,174.8283517,-41.33483546,5,318282.821,5421796.898
92,174.8284316,-41.33484985,5,318289.547,5421795.468
93,174.8285164,-41.33484938,5,318296.642,5421795.698
94,174.8285563,-41.33483431,5,318299.939,5421797.455
95,174.8285411,-41.33476753,5,318298.482,5421804.837
96,174.8284809,-41.33473067,5,318293.341,5421808.804
